location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Lviv, Ukraine",Military - Ukraine Air Force,,Sukhoi Su-27,2.0,0.0,2.0,0.0,0.0,0.0,85.0,2002,Julio,Sábado,UKRAINE,2000,Sin dato
"Moscow, Russia",Pulkovo Aviation Enterprise,Moscow - St. Petersburgh,Iluyshin Il-86,16.0,0.0,16.0,14.0,0.0,14.0,0.0,2002,Julio,Domingo,RUSSIA,2000,Sin escala
"Caguas, Puerto Rico",Military - U.S. Air Force,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10.0,3.0,7.0,10.0,3.0,7.0,0.0,2002,Agosto,Miércoles,PUERTO RICO,2000,Sin escala
"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,,Yunshuji Y-8D,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2002,Agosto,Jueves,SRI LANKA,2000,Sin dato
"Khankala, Chechnya",Military - Russian Air Force,,Mil Mi-26,147.0,142.0,5.0,121.0,121.0,0.0,0.0,2002,Agosto,Lunes,CHECHNYA,2000,Sin dato
"Pokhara, Nepal",Shangri La Air,Jomsom - Pokhara,de Havilland Canada DHC-6-300 Twin Otter,18.0,15.0,3.0,18.0,15.0,3.0,0.0,2002,Agosto,Jueves,NEPAL,2000,Sin escala
"Near Ayan, Russia",Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,16.0,14.0,2.0,16.0,14.0,2.0,0.0,2002,Agosto,Jueves,RUSSIA,2000,Sin escala
"Rio Branco, Brazil",Rico Taxi Aéreo,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,31.0,28.0,3.0,23.0,20.0,3.0,0.0,2002,Agosto,Viernes,BRAZIL,2000,Con escala
"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,Guarulhos - Londrina,ATR 42-300,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2002,Septiembre,Sábado,BRAZIL,2000,Sin escala
"Near Natashquan, Quebec, Canada",Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,4.0,3.0,1.0,3.0,3.0,0.0,0.0,2002,Septiembre,Sábado,CANADA,2000,Sin escala
"Vasco, India",Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12.0,0.0,12.0,12.0,0.0,12.0,5.0,2002,Octubre,Martes,INDIA,2000,Sin escala
"Near Niederanven, Luxembourg",Luxair,"Berlin, Germany - Luxembourg",Fokker 50,22.0,19.0,3.0,20.0,18.0,2.0,0.0,2002,Noviembre,Miércoles,LUXEMBOURG,2000,Sin escala
"Tarakan, Indonesia",Dirgantara Air Services,Tarakan - Long Bawan,Britten-Norman BN-2A-21,10.0,9.0,1.0,7.0,6.0,1.0,0.0,2002,Noviembre,Jueves,INDONESIA,2000,Sin escala
"Taos, New Mexico",Richmor Aviation,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2002,Noviembre,Viernes,NEW MEXICO,2000,Sin escala
"Manila, Philippines",Laoag International Airlines,Manila - Laoag,Fokker F27 Friendship 100,34.0,29.0,5.0,19.0,18.0,1.0,0.0,2002,Noviembre,Lunes,PHILIPPINES,2000,Sin escala
"Masai Mara Game Reserve, Kenya",Eagle Aviation,Ol Kiombo - Mombasa,Let 410UVP-E20,20.0,18.0,2.0,1.0,0.0,1.0,0.0,2002,Noviembre,Jueves,KENYA,2000,Sin escala
"Gohu Airstrip, Papua New Guinea",Island Airways Ltd.,Gohu - Madang,Britten-Norman BN-2A-26 Islander,8.0,7.0,1.0,8.0,7.0,1.0,0.0,2002,Diciembre,Viernes,PAPUA NEW GUINEA,2000,Sin escala
"Rockford, Illinois",Planemasters,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2002,Diciembre,Martes,EEUU,2000,Sin escala
"Off Pachao Tao, Taiwan",Transasia Airways,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2002,Diciembre,Sábado,TAIWAN,2000,Sin escala
"Near Isfanan, Iran",Aeromist-Kharkiv,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,44.0,38.0,6.0,44.0,38.0,6.0,0.0,2002,Diciembre,Lunes,IRAN,2000,Con escala
"Curitiba, Brazil",Military - Brazilian Air Force,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,16.0,13.0,3.0,3.0,2.0,1.0,0.0,2002,Diciembre,Jueves,BRAZIL,2000,Sin escala
"Anjouan, Comoros Islands",Ocean Airlines,Moroni Hahaya - Anjouan,Let 410UVP,16.0,14.0,2.0,1.0,1.0,0.0,0.0,2002,Diciembre,Viernes,COMOROS ISLANDS,2000,Sin escala
"Charlotte, North Carolina",US Air Express/Air Midwest,"Charlotte, NC - Greer, SC",Beech BE-1900D,21.0,19.0,2.0,21.0,19.0,2.0,0.0,2003,Enero,Miércoles,EEUU,2000,Sin escala
"Diyarbakir, Turkey",Turkish Airlines (THY),Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,80.0,75.0,5.0,75.0,71.0,4.0,0.0,2003,Enero,Miércoles,TURKEY,2000,Con escala
"Near Chachapoyas, Peru",TANS Airlines,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,46.0,42.0,4.0,46.0,42.0,4.0,0.0,2003,Enero,Jueves,PERU,2000,Sin escala
"Near Ndjolé, Gabon",Aerocom,Brazzaville - Douala,Antonov 24B,7.0,5.0,2.0,7.0,5.0,2.0,0.0,2003,Enero,Viernes,GABON,2000,Sin escala
"Busia, Kenya",African Commuter Services,Busia - Nairobi,Grumman G-159 Gulfstream I,13.0,11.0,2.0,3.0,1.0,2.0,0.0,2003,Enero,Viernes,KENYA,2000,Sin escala
"Baucau, East Timor",Euro Asia Aviation,Macau - Baucau,Ilyushin II-76TD,6.0,2.0,4.0,6.0,2.0,4.0,0.0,2003,Enero,Viernes,EAST TIMOR,2000,Sin escala
"Near Agadir, Morocco",Volare Aviation Enterprise,Agadir - Algiers,Antonov 12BP,8.0,0.0,8.0,8.0,0.0,8.0,0.0,2003,Febrero,Viernes,MOROCCO,2000,Sin escala
"Tallinn, Estonia",Enimex,Tallinn - Helsinki,Antonov AN-28,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2003,Febrero,Lunes,ESTONIA,2000,Sin escala
"Ferguson, Kentucky",Air Taxi - Great Northern Aircraft Co.,"Griffith-Merrill, IN - Somerset, KY",Cessna 421,7.0,6.0,1.0,3.0,2.0,1.0,0.0,2003,Febrero,Domingo,EEUU,2000,Con escala
"Near Shahdad, Iran",Military - Islamic Revolution's Guards Corps,Zahedan - Kerman,Ilyushin Il-76MD,275.0,257.0,18.0,275.0,257.0,18.0,0.0,2003,Febrero,Miércoles,IRAN,2000,Sin escala
"Near Kohat, Pakistan",Military - Pakistan Air Force,Islamabad - Kohat,Fokker F-27 Friendship 200,17.0,9.0,8.0,17.0,9.0,8.0,0.0,2003,Febrero,Jueves,PAKISTAN,2000,Sin escala
"Near Barki, Russia",Private - Kabanov - skydiving,Skydiving,Let L-410UVP,25.0,23.0,2.0,11.0,9.0,2.0,0.0,2003,Marzo,Sábado,RUSSIA,2000,Sin escala
"Tamanrasset, Algeria",Air Algerie,Tamanrasset - Algiers,Boeing B-737-2T4,103.0,97.0,6.0,102.0,96.0,6.0,0.0,2003,Marzo,Jueves,ALGERIA,2000,Sin escala
"Mulia, Indonesia",PT Air Regional,Mulia - Wamena,de Havilland Canada DHC-6 Twin Otter,16.0,14.0,2.0,4.0,2.0,2.0,0.0,2003,Marzo,Jueves,INDONESIA,2000,Sin escala
"New Vienna, Iowa",Morris Hancock Flying Club - Charter,"Aurora, IL - Morris, MN",Beech A36,3.0,2.0,1.0,3.0,2.0,1.0,0.0,2003,Marzo,Viernes,EEUU,2000,Sin escala
"Near Kinshasa, Congo",Ukrainian Cargo Airlines -  Congolese Army Charter,Kinshasa - Lubumbashi,Illyushin 76,200.0,,,129.0,,,0.0,2003,Mayo,Jueves,CONGO,2000,Sin escala
"Near Macka, Turkey",Ukranian-Mediterranean Airlines,"Kabul, Afghanistan - Trabzon, Turkey - Zaragoza, Spain",Yakovlev 42D,75.0,62.0,13.0,75.0,62.0,13.0,0.0,2003,Mayo,Lunes,TURKEY,2000,Con escala
"Talkeetna, Alaska",McKinley Air Service - Air Taxi,,Cessna 185,4.0,3.0,1.0,4.0,3.0,1.0,0.0,2003,Mayo,Miércoles,EEUU,2000,Sin dato
"Milan, Italy",Eurojet Italila,Milan - Genoa - Farnborough,Gates Learjet 45,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2003,Junio,Domingo,ITALY,2000,Con escala
"Near Oiapoque,  Brazil",Air Taxi - Marco Zero Air Taxi,Oiapoque - Macapa,EMB 721C Sertanejo,5.0,4.0,1.0,5.0,4.0,1.0,0.0,2003,Junio,Miércoles,BRAZIL,2000,Sin escala
"Christchurch, New Zealand",Charter - Air Adventures New Zealand Ltd,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,10.0,9.0,1.0,8.0,7.0,1.0,0.0,2003,Junio,Viernes,NEW ZEALAND,2000,Sin escala
"Belo Horizonte, Brazil",Astro Air Taxi,,Embraer 820C Navajo,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2003,Junio,Miércoles,BRAZIL,2000,Sin dato
"Volcano, Hawaii",Paradise Tour Helicopters,Sightseeing,McDonnell Douglas 369D,4.0,3.0,1.0,4.0,3.0,1.0,0.0,2003,Junio,Domingo,EEUU,2000,Sin escala
"Near Brest, France",Brit Air,Nantes - Brest,Canadair CRJ-100ER,24.0,21.0,3.0,1.0,0.0,1.0,0.0,2003,Junio,Domingo,FRANCE,2000,Sin escala
"Near Rudshour, Iran",Military - Islamic Republic of Iran Air Force,,Lockheed C-130 Hercules,7.0,0.0,7.0,7.0,0.0,7.0,0.0,2003,Junio,Miércoles,IRAN,2000,Sin dato
"Anchor Point, Alaska",Hallo Bay Air - Air Taxi,"Hallo Bay, AK - Homer, AK",Cessna 180H,3.0,2.0,1.0,3.0,2.0,1.0,0.0,2003,Junio,Miércoles,EEUU,2000,Sin escala
"Near Rooisand Desert Ranch, Namibia",Comvac Aviation,,Cessna 208B Grand Caravan,4.0,3.0,1.0,4.0,3.0,1.0,0.0,2003,Junio,Jueves,NAMIBIA,2000,Sin dato
"Blida, Algeria",Military - Algerian Air Force,Training,Lockheed C-130H Hercules,4.0,0.0,4.0,4.0,0.0,4.0,11.0,2003,Junio,Lunes,ALGERIA,2000,Sin escala
"Belem, Para, Brazil",Heringer Air Taxi,,Mitsubishi MU 2B 35,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2003,Julio,Martes,BRAZIL,2000,Sin dato
"Macaé, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,,Sikorsky  S 76 A,5.0,3.0,2.0,5.0,3.0,2.0,0.0,2003,Julio,Sábado,BRAZIL,2000,Sin dato
"Port Sudan, Sudan",Sudan Airways,Port Sudan - Khartoum,Boeing 737-2J8C,117.0,106.0,11.0,117.0,106.0,11.0,0.0,2003,Julio,Martes,SUDAN,2000,Sin escala
"Near San Cristobal, Venezuela",Ruiban & Duran Compania Aérea,La Carlota - San Cristobal,Let 410UVP-E,10.0,8.0,2.0,4.0,4.0,0.0,0.0,2003,Julio,Domingo,VENEZUELA,2000,Sin escala
"Off Treasure Cay, Bahamas",Air Sunshine,"Ft. Lauderdale, FL - Treasure Cay",Cessna 402C,10.0,9.0,1.0,2.0,2.0,0.0,0.0,2003,Julio,Domingo,BAHAMAS,2000,Sin escala
"Mount Kenya, Kenya",Ryan Blake Air Charter,Nairobi - Samburu National Park,Swearingen SA-226T Metro II,14.0,12.0,2.0,14.0,12.0,2.0,0.0,2003,Julio,Sábado,KENYA,2000,Sin escala
"Waialeale,Kauai, Hawaii",Jack Harter Helicopters,Sightseeing,Bell 206B,5.0,4.0,1.0,5.0,4.0,1.0,0.0,2003,Julio,Miércoles,EEUU,2000,Sin escala
"Groton, Connecticut",Jet Pro,Farmingdale - Groton,Gates Learjet 35A,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2003,Agosto,Lunes,EEUU,2000,Sin escala
"Tocomita, Venezuela",Servicios Aeronauticos Sucre (SASCA),Porlamar - Canaima,Cessna 208B Grand Caravan,16.0,14.0,2.0,1.0,0.0,1.0,0.0,2003,Agosto,Viernes,VENEZUELA,2000,Sin escala
"Near Barrow, Alaska",Hageland Aviation Services Inc.,Barrow - Wainwright,Reims Aviation 406,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2003,Agosto,Domingo,EEUU,2000,Sin escala
"Kamchatka Peninsula, Russia",Khalatyrka,Kamchatka - Kuril Islands,Mi-8 helicopter,20.0,19.0,1.0,20.0,19.0,1.0,0.0,2003,Agosto,Miércoles,RUSSIA,2000,Sin escala
"Cap Haitien, Haiti",Tropical Airways,Cap Haitien - Port au Paix,Let 420UVP-E,21.0,19.0,2.0,21.0,19.0,2.0,0.0,2003,Agosto,Domingo,HAITI,2000,Sin escala
"Off Hyannis, Massachusetts",US Airways Express,,Beechcraft 1900D,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2003,Agosto,Martes,EEUU,2000,Sin dato
"Near Summer Beaver, Canada",Wasaya Airways,Pickle Lake - Summer Beaver,Cessna 208B Grand Caravan,8.0,7.0,1.0,8.0,7.0,1.0,0.0,2003,Septiembre,Jueves,CANADA,2000,Sin escala
"Near La Quemada, Mexico",Military - Mexican Air Force,Mexicali - Santa Lucia,Lockheed C-130A Hercules,6.0,0.0,6.0,6.0,0.0,6.0,0.0,2003,Septiembre,Viernes,MEXICO,2000,Sin escala
"Del Rio, Texas",Ameristar Jet Charter,El Paso - Del Rio,Learjet 25B,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2003,Septiembre,Viernes,EEUU,2000,Sin escala
"Near Meadview, Arizona",Sundance Helicopters,Sightseeing,Aerospatiale AS350BA,7.0,6.0,1.0,7.0,6.0,1.0,0.0,2003,Septiembre,Sábado,EEUU,2000,Sin escala
"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,3.0,2.0,1.0,3.0,2.0,1.0,0.0,2003,Septiembre,Sábado,CANADA,2000,Con escala
Sao Gabriel de Cachoeria,Air taxi - Rumo Notre Air Taxi,Sao Gabriel de Cachoeria - Yauarete,EMB 721C Sertanejo,4.0,3.0,1.0,4.0,3.0,1.0,0.0,2003,Octubre,Viernes,SAO GABRIEL DE CACHOERIA,2000,Sin escala
"Off Waikanae, New Zealand",Air Freight New Zealand,Christchurch - Palmerston North,Convair CV-580F,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2003,Octubre,Viernes,NEW ZEALAND,2000,Sin escala
"Uriman, Venezuela",Transmandu,,Antonov AN-2TP,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2003,Octubre,Sábado,VENEZUELA,2000,Sin dato
"Buenos Aires, Argentina",CATA Linea Aerea,,Fairchild Hiller FH-227B,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2003,Octubre,Domingo,ARGENTINA,2000,Sin dato
"Tampico, Mexico",Aeroextra,Tampico - Las Potrancas Ranch Airstrip,Hawker 800A,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2003,Octubre,Lunes,MEXICO,2000,Sin escala
"Cody, Wyoming",FedEx,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2003,Octubre,Miércoles,EEUU,2000,Sin escala
"Near Hasi, Iraq",Military - U.S. Army,Fallujah - Baghdad,CH-47 Chinook,36.0,34.0,2.0,15.0,15.0,0.0,0.0,2003,Noviembre,Domingo,IRAQ,2000,Sin escala
"200 miles NE of Derby, Australia",Heliwork WA Pty Ltd. - Air Taxi,,Robertson R44 helicopter,4.0,3.0,1.0,4.0,3.0,1.0,0.0,2003,Noviembre,Sábado,AUSTRALIA,2000,Sin dato
"Near Ogle, Guyana",Trans Guyana Airways,"Ogle, Guyana - Ekereku, Guyana",Shorts SC-7 Skyvan 3M Variant 100,7.0,4.0,3.0,2.0,1.0,1.0,0.0,2003,Noviembre,Sábado,GUYANA,2000,Sin escala
"Mosul, Iraq",Military - U.S. Army,,UH-60 Black Hawk / UH-60 Black Hawk,22.0,18.0,4.0,17.0,13.0,4.0,0.0,2003,Noviembre,Sábado,IRAQ,2000,Sin dato
"Spokane, Washington",Ameriflight,Seattle - Spokane,Swearingen SA227AT Merlin IVC,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2003,Noviembre,Sábado,EEUU,2000,Sin escala
"Boende, Congo",Military - Congolese Air Force,"Boende, Congo - Kinshasa, Congo",Antonov AN-26,24.0,18.0,6.0,20.0,14.0,6.0,13.0,2003,Noviembre,Sábado,CONGO,2000,Sin escala
"Jellicoe, Ontario, Canada",Huron Air,,de Havilland DHC-3 Otter,3.0,2.0,1.0,2.0,1.0,1.0,0.0,2003,Diciembre,Martes,CANADA,2000,Sin dato
"Mitu, Colombia",Líneas Aéreas Suramericanas,El Yopal - Mitu,Douglas DC-9-15F,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2003,Diciembre,Jueves,COLOMBIA,2000,Sin escala
"Helendale, California",Pavair,"Chino,CA - Sun Valley, ID",Gates Learjet 24B,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2003,Diciembre,Martes,EEUU,2000,Sin escala
"Cotonou, Benin",Union des Transports Aeriens de Guinee,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon",Boeing B-727-223,161.0,151.0,10.0,140.0,132.0,8.0,0.0,2003,Diciembre,Jueves,BENIN,2000,Con escala
"Off Sharm el Sheikh, Egypt",Flash Air,"Sharm el Sheikh, Egypt - Cairo, Egypt",Boeing B-737-3Q8,148.0,135.0,13.0,148.0,135.0,13.0,0.0,2004,Enero,Sábado,EGYPT,2000,Sin escala
"Tashkent, Uzbekistan",Uzbekistan Airways,Termez - Tashkent,Yakovlev YAK-40,37.0,32.0,5.0,37.0,32.0,5.0,0.0,2004,Enero,Martes,UZBEKISTAN,2000,Sin escala
"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,Skopje - Mostar,Beechcraft Super King Air 200,9.0,7.0,2.0,9.0,7.0,2.0,0.0,2004,Febrero,Viernes,BOSNIA-HERZEGOVINA,2000,Sin escala
"Sharjah, United Arab Emirates",Kish Airlines,Kish Island - Sharjah,Fokker F-50,46.0,40.0,6.0,43.0,37.0,6.0,0.0,2004,Febrero,Martes,UNITED ARAB EMIRATES,2000,Sin escala
"Bakou, Azerbaijan	Bakou, Azerbaijan",Azov Avia Airlines,Ankara - Baku - Kabul,Ilyushin II-76,7.0,0.0,7.0,3.0,0.0,3.0,0.0,2004,Marzo,Jueves,AZERBAIJAN,2000,Con escala
"Tonopah, Nevada",Military - United States Air Force,,Beechcraft 1900C,5.0,4.0,1.0,5.0,4.0,1.0,0.0,2004,Marzo,Martes,EEUU,2000,Sin dato
"Pyote, Texas",Air Ambulance - Med-Trans Corp.,"Odessa, TX - Lubbock, TX",Bell 407,5.0,4.0,1.0,4.0,3.0,1.0,0.0,2004,Marzo,Domingo,EEUU,2000,Sin escala
"Near Milpillas, Mexico",Procuradoria General de la Republica,Ciudad Juarez - Mexico City,Rockwell Gulfstream Jetprop 840,7.0,5.0,2.0,7.0,5.0,2.0,0.0,2004,Mayo,Domingo,MEXICO,2000,Sin escala
"Carepa, Colombia",Aerotransportes Petroleros,Bogota - Carepa,Swearingen SA227AC Metro III,7.0,5.0,2.0,3.0,1.0,2.0,0.0,2004,Mayo,Miércoles,COLOMBIA,2000,Sin escala
"Jiech, Sudan",Charter - Air Cush,Jiech - Ayod,Let 410UVP,10.0,8.0,2.0,6.0,5.0,1.0,0.0,2004,Mayo,Jueves,SUDAN,2000,Sin escala
"Dalang, Sudan",El Magal Aviation,Khartoum - Juba - El Obeid,Antonov AN-12,7.0,0.0,7.0,7.0,0.0,7.0,0.0,2004,Mayo,Martes,SUDAN,2000,Con escala
"Near Manaus, Brazil",Rico Linhas Aereas,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,33.0,30.0,3.0,33.0,30.0,3.0,0.0,2004,Mayo,Viernes,BRAZIL,2000,Con escala
"Urumqi, China",AZAL Cargo Company,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,7.0,0.0,7.0,7.0,0.0,7.0,0.0,2004,Mayo,Martes,CHINA,2000,Con escala
"Bozoy, Kazakhstan",Aray-Avia,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,PZL-Mielec AN-2R,12.0,10.0,2.0,1.0,1.0,0.0,0.0,2004,Mayo,Martes,KAZAKHSTAN,2000,Con escala
"Mwingi, Kenya",Blue Bird Aviation,Nairobi - Mogadiscio,Let 410UVP,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2004,Mayo,Domingo,KENYA,2000,Sin escala
"Near Lukla, Nepal",Yeti Airlines,Katmandou - Lukla,de Havilland DHC-6 Twin Otter 300,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2004,Mayo,Martes,NEPAL,2000,Sin escala
"Off Libreville, Gabon",Gabon Express,Libreville - Franceville,BAe HS-748-232 Srs 2A,30.0,26.0,4.0,19.0,18.0,1.0,0.0,2004,Junio,Martes,GABON,2000,Sin escala
"Near Yengema, Sierra Leone",United Nations -  UTair Charter,Freetown - Kailahun,Mi-8MTV-1,24.0,21.0,3.0,24.0,21.0,3.0,0.0,2004,Junio,Lunes,SIERRA LEONE,2000,Sin escala
"Off Beef Island, British Virgin Islands",Dodita Air Cargo,San Juan - Saint Martten,Convair CV-440,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2004,Julio,Lunes,BRITISH VIRGIN ISLANDS,2000,Sin escala
"Off  Macaé , Rio de Janeiro , Brazil",BHS - Brazilian Helicopter Service  Air Taxi,"Campos, Brazil  -  Off-shore oil rig",Sikorsky S 76,11.0,9.0,2.0,6.0,6.0,0.0,0.0,2004,Julio,Jueves,BRAZIL,2000,Con escala
"Ononge, Papua New Guinea",Airlines of PNG,Port Moresby - Ononge,de Havilland DHC-6 Twin Otter 300,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2004,Julio,Jueves,PAPUA NEW GUINEA,2000,Sin escala
"Cincinnati, Ohio",Air Taroma,Memphis - Cincinnati,Convair CV-580,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2004,Agosto,Viernes,EEUU,2000,Sin escala
"Near Maracay, Venezuela",Military - Venezuelan Air Force,La Orchila Air Base - Maracay,Shorts 360,25.0,22.0,3.0,25.0,22.0,3.0,0.0,2004,Agosto,Sábado,VENEZUELA,2000,Sin escala
