location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Near Aswan, Egypt",Military - Soviet Air Force,Cairo - Aswan,Antonov AN-12,31.0,25.0,6.0,31.0,25.0,6.0,0.0,1963,Octubre,Viernes,EGYPT,1960,Sin escala
"Hayes Island, Russia",Aeroflot,Survey flight,Ilyushin IL-14,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1963,Octubre,Domingo,RUSSIA,1960,Sin escala
"Near Tisbury, England",British Aircraft Corporation,Test flight,BAC One-Eleven 200AB,7.0,0.0,7.0,7.0,0.0,7.0,0.0,1963,Octubre,Martes,ENGLAND,1960,Sin escala
"Mariehamn, Aaland Island, Finland",Finnair,Turku - Mariehamn,Douglas DC-3,24.0,21.0,3.0,22.0,19.0,3.0,0.0,1963,Noviembre,Viernes,FINLAND,1960,Sin escala
"Ste. Therese de Blainville, Canada",Trans Canada Air Lines,Montreal - Toronto,McDonnell Douglas DC-8F-54F,118.0,111.0,7.0,118.0,111.0,7.0,0.0,1963,Noviembre,Viernes,CANADA,1960,Sin escala
"Near Nederland, Colorado",Zantop Air Transport,Lowery AFB - Ogden Hill AFB,Curtis C-46A-20-CU,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1963,Diciembre,Sábado,EEUU,1960,Sin escala
"Elkton, Maryland",Pan American World Airways,Washington - Baltimore - Philadelphia,Boeing B-707-121,81.0,73.0,8.0,81.0,73.0,8.0,0.0,1963,Diciembre,Domingo,EEUU,1960,Con escala
"Gazni, Afghanistan",Trans Mediterranean Airways,Kawait - Kabul,Douglas C-54A,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1963,Diciembre,Jueves,AFGHANISTAN,1960,Sin escala
"Cairo, Egypt",Misrair,Cairo - Luxor,Vickers 634 Viking 1B,6.0,1.0,5.0,6.0,1.0,5.0,0.0,1963,Diciembre,Domingo,EGYPT,1960,Sin escala
"Los Angeles, California",Western Airlines,,Douglas DC-6B,46.0,40.0,6.0,0.0,0.0,0.0,0.0,1963,Diciembre,Martes,EEUU,1960,Sin dato
"Zarate, Argentina",Aerolineas Litoral Argentina,Rosario - Buenos Aires,Douglas DC-3,30.0,27.0,3.0,28.0,25.0,3.0,0.0,1964,Enero,Jueves,ARGENTINA,1960,Sin escala
"Near Ankara, Turkey",Turkish Airlines (THY),Istanbul - Ankara,Douglas C-47A,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1964,Febrero,Lunes,TURKEY,1960,Sin escala
"Gainsville, Florida",South Central Airlines,Gainsville - Jacksonville,Beech D18S,10.0,9.0,1.0,10.0,9.0,1.0,0.0,1964,Febrero,Lunes,EEUU,1960,Sin escala
"Yacuiba, Bolivia",Lloyd Aéreo Boliviano,Yacuiba - La Paz,Douglas DC-3,29.0,26.0,3.0,2.0,,,0.0,1964,Febrero,Martes,BOLIVIA,1960,Sin escala
"Banihal Pass, India",Military - Indian Air Force,Srinagar - Udhampur,Ilyushin IL-14,13.0,8.0,5.0,13.0,8.0,5.0,0.0,1964,Febrero,Martes,INDIA,1960,Sin escala
"Marawi, Philippines",Philippine Air Lines,Cotabato - Malabang - Iligan - Cayagan de Oro,Douglas DC-3,32.0,29.0,3.0,31.0,28.0,3.0,0.0,1964,Febrero,Viernes,PHILIPPINES,1960,Con escala
"Lake Pontchartrain, New Orleans, Louisiana",Eastern Air Lines,Mexico City - New Orleans - New York City,McDonnell Douglas DC-8-21,58.0,51.0,7.0,58.0,51.0,7.0,0.0,1964,Febrero,Martes,EEUU,1960,Con escala
"Oita, Japan",Fuji Airlines,Kagoshima - Oita,Convair CV-240-0,42.0,37.0,5.0,20.0,18.0,2.0,0.0,1964,Febrero,Jueves,JAPAN,1960,Sin escala
"Near Innsbruck, Austria",British Eagle International Airlines,London - Innsbruck,Bristol Britannia 312,83.0,75.0,8.0,83.0,75.0,8.0,0.0,1964,Febrero,Sábado,AUSTRIA,1960,Sin escala
"Near Zephyr Cove, Nevada",Paradise Airlines,"San Jose, CA - Lake Tahoe",Lockheed 049 Constellation,85.0,81.0,4.0,85.0,81.0,4.0,0.0,1964,Marzo,Domingo,EEUU,1960,Sin escala
"Barrackpore, India",Military - Indian Air Force,Barrackpore - Bagdogra,Fairchild C-119,22.0,17.0,5.0,22.0,17.0,5.0,0.0,1964,Marzo,Miércoles,INDIA,1960,Sin escala
Near Chicago Illinois,Snow Valley Ski Lines,,Douglas DC-3,30.0,28.0,2.0,1.0,0.0,1.0,0.0,1964,Marzo,Domingo,NEAR CHICAGO ILLINOIS,1960,Sin dato
"Bogota, Colombia",Taxi Aereo de Santander,Pereira - Bogota,Douglas DC-3,28.0,25.0,3.0,28.0,25.0,3.0,0.0,1964,Marzo,Domingo,COLOMBIA,1960,Sin escala
"Boston, Massachutes",Slick Airways - Cargo,New York - Winsor Locks - Boston,Douglas DC-4,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1964,Marzo,Martes,MASSACHUTES,1960,Con escala
"Miles City, Montana",Frontier Airlines,Billings - Miles City - Glendive - Sidney,Douglas DC-3C,5.0,2.0,3.0,5.0,2.0,3.0,0.0,1964,Marzo,Jueves,EEUU,1960,Con escala
"Near Danbury, North Carolina",Commercial Air Taxi,,Piper PA-23,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1964,Marzo,Viernes,EEUU,1960,Sin dato
"Mt. Vesuvius, Italy",Alitalia,Rome - Napoli,Vickers Viscount 785D,45.0,40.0,5.0,45.0,40.0,5.0,0.0,1964,Marzo,Sábado,ITALY,1960,Sin escala
North Pacific Ocean,Private - Facilities Management Co.,Honolulu - San Francisco,Douglas C-54A-10-DC,9.0,6.0,3.0,9.0,6.0,3.0,0.0,1964,Marzo,Sábado,NORTH PACIFIC OCEAN,1960,Sin escala
"Hargeisa, Somalia",Aden Airways,Aden - Hargeisa,Douglas DC-3,15.0,12.0,3.0,15.0,12.0,3.0,0.0,1964,Abril,Domingo,SOMALIA,1960,Sin escala
"Dhahran, Saudi Arabia",Middle East Airlines,Beirut - Dhahran,Sud Aviation Caravelle 3,49.0,42.0,7.0,49.0,42.0,7.0,0.0,1964,Abril,Viernes,SAUDI ARABIA,1960,Sin escala
"Elim, Alaska",Wein Alaska Airlines Inc.,,Cessna 185,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1964,Abril,Viernes,EEUU,1960,Sin dato
"Wilmington, Ohio",Military  - US Air Force,Training,Fairchild C-119G / Fairchild C-119G,19.0,0.0,19.0,17.0,0.0,17.0,,1964,Abril,Sábado,EEUU,1960,Sin escala
"San Ramon, California",Pacific Air Lines,Stockton - San Fransisco,Fairchild F-27A,44.0,41.0,3.0,44.0,41.0,3.0,0.0,1964,Mayo,Jueves,EEUU,1960,Sin escala
"Near Lima, Peru",Fuerza Aérea Argentina,Buenos Aires - Lima,Douglas C-54,49.0,42.0,7.0,46.0,40.0,6.0,0.0,1964,Mayo,Viernes,PERU,1960,Sin escala
"Off Rota, Spain",Military - US Air Navy,Patrol Flight,Lockheed P-2E Neptune,10.0,0.0,10.0,10.0,0.0,10.0,0.0,1964,Mayo,Lunes,SPAIN,1960,Sin escala
"Papanga, Philippines",Military - U.S. Air Force,Travis - Hickam - Clark,Boeing C-135B,84.0,74.0,10.0,79.0,74.0,5.0,1.0,1964,Mayo,Lunes,PHILIPPINES,1960,Con escala
"Sibuco Point ,Philippines",Philippine Air Lines,Siocon - Zamboanga,de Havilland Canada DHC-3 Otter,11.0,10.0,1.0,11.0,10.0,1.0,0.0,1964,Mayo,Miércoles,PHILIPPINES,1960,Sin escala
"Itapecerica da Serra, Brazil",VASP,Training,Douglas C-47-DL (DC-3),3.0,0.0,3.0,3.0,0.0,3.0,0.0,1964,Mayo,Miércoles,BRAZIL,1960,Sin escala
"Jeddah, Saudia ArabiaJeddah, Saudia Arabia",Saudi Arabian Airlines,Training,Douglas C-47A,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1964,Junio,Sábado,SAUDIA ARABIA,1960,Sin escala
"Taichung, Taiwan",Civil Air Transport,Taichung - Tainan,Curtiss C-46-CU,57.0,52.0,5.0,57.0,52.0,5.0,0.0,1964,Junio,Sábado,TAIWAN,1960,Sin escala
"Off Palma de Mallorca, Spain",TASSA,Palma de Mallorca - Ibiza,Douglas DC-3,28.0,25.0,3.0,1.0,1.0,0.0,0.0,1964,Junio,Domingo,SPAIN,1960,Sin escala
"Knoxville, Tennessee",United Air Lines,,Caravelle VIR,53.0,48.0,5.0,1.0,1.0,0.0,0.0,1964,Julio,Miércoles,EEUU,1960,Sin dato
"Parrottsville, Tennesee",United Air Lines,Philidelphia - Washington - Knoxville - Huntsville,Vickers Viscount 745D,39.0,35.0,4.0,39.0,35.0,4.0,0.0,1964,Julio,Jueves,TENNESEE,1960,Con escala
"Ansbach, Germany",Lufthansa,Training,Boeing 720,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1964,Julio,Miércoles,GERMANY,1960,Sin escala
"Richmond, Virginia",Eastern Air Lines,New York City - Richmond - Jacksonville,Douglas DC-7B,76.0,71.0,5.0,0.0,0.0,0.0,0.0,1964,Julio,Jueves,EEUU,1960,Con escala
"Near Nashville, Tennesee",Private,Batesville - Nashville,Beechcraft 35-B33 Debonair,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1964,Julio,Viernes,TENNESEE,1960,Sin escala
"Near Tipuani, Bolivia",Servicios Aéreos Cochabamba,La Paz - Tipuani,Douglas C-47A-25-DK,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1964,Agosto,Sábado,BOLIVIA,1960,Sin escala
"Island of Sakhalin, Russia",Aeroflot,Krasnoyarsk - Yuzhno,Ilyushin IL-18B,87.0,78.0,9.0,87.0,78.0,9.0,0.0,1964,Septiembre,Miércoles,RUSSIA,1960,Sin escala
"Near Vaong Nong, Thailand",Military - Royal Thai Air Force,Khoke Kathiam - Vaong Nong,Douglas C-47,34.0,,,28.0,,,0.0,1964,Septiembre,Viernes,THAILAND,1960,Sin escala
"Pico da Caledonia, Brazil",VASP,Vitoria - Rio de Janeiro,Vickers Viscount 710C,39.0,34.0,5.0,39.0,34.0,5.0,0.0,1964,Septiembre,Viernes,BRAZIL,1960,Sin escala
"Near Condoto, Colombia",AVIANCA,Condoto - Medellin,Douglas C-47A,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1964,Septiembre,Martes,COLOMBIA,1960,Sin escala
"Addis Ababa, Ethiopia",Interocean,"Dublin, Ireland - Addis Ababa",Lockheed L-749A-79 Constellation,7.0,0.0,7.0,1.0,0.0,1.0,0.0,1964,Octubre,Viernes,ETHIOPIA,1960,Sin escala
"Near Trevelez, Granada, Spain",Union des Transportes Aeriens,Palma de Mallorca - Port Etienne,Douglas DC-6B,80.0,73.0,7.0,80.0,73.0,7.0,0.0,1964,Octubre,Viernes,SPAIN,1960,Sin escala
"Near Sibiu, Romania",Tarom,Timisoara - Bucharest,Ilyushin IL-14,32.0,28.0,4.0,32.0,28.0,4.0,0.0,1964,Octubre,Viernes,ROMANIA,1960,Sin escala
"Near Belgrade, Yugoslavia",Military - Soviet Air Force,Moscow - Belgrade,Ilyushin IL-18,33.0,29.0,4.0,33.0,29.0,4.0,0.0,1964,Octubre,Lunes,YUGOSLAVIA,1960,Sin escala
"El Centro, California",Military - US Navy,Air Show,Douglas A-3D Skywarrior,3.0,0.0,3.0,3.0,0.0,3.0,6.0,1964,Octubre,Martes,EEUU,1960,Sin escala
"Branson, Colorado",Mustang Aviati,,Beechcraft C45G,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1964,Noviembre,Martes,EEUU,1960,Sin dato
"Las Vegas, Nevada",Bonanza Airlines,Phoenix - Las Vegas,Fairchild F-27A,29.0,26.0,3.0,29.0,26.0,3.0,0.0,1964,Noviembre,Domingo,EEUU,1960,Sin escala
"Off Argentia, Newfoundland, Canada",Military - U.S. Navy,Training,Lockheed P-3A,10.0,0.0,10.0,10.0,0.0,10.0,0.0,1964,Noviembre,Martes,CANADA,1960,Sin escala
"Angelholm, Sweden",Linjeflyg,Stockholm - Hultsfred - Halmstad - Ängelholm,Convair CV-440,43.0,39.0,4.0,31.0,29.0,2.0,0.0,1964,Noviembre,Viernes,SWEDEN,1960,Con escala
"Rome, Italy",Trans World Airlines,Chicago - New York - Paris - Milan - Rome - Athens,Boeing B-707-331,73.0,62.0,11.0,50.0,45.0,5.0,0.0,1964,Noviembre,Lunes,ITALY,1960,Con escala
"Leopoldville, Democratic Republic of the Congo",Air Congo (BIAS)?,Stanleyville - Kamina,Douglas DC-4,14.0,11.0,3.0,6.0,3.0,3.0,0.0,1964,Noviembre,Domingo,DEMOCRATIC REPUBLIC OF THE CONGO,1960,Sin escala
"Tripuani, Bolivia",Aerolineas Abaroa,Tipuani - La Paz,Douglas DC-3,17.0,13.0,4.0,17.0,13.0,4.0,0.0,1964,Diciembre,Martes,BOLIVIA,1960,Sin escala
"Near Da Nang, South Vietnam",Military - Vietnamese Air Force,,Fairchild C-123,38.0,32.0,6.0,38.0,32.0,6.0,0.0,1964,Diciembre,Viernes,SOUTH VIETNAM,1960,Sin dato
"Near Kaliba, Philippines",Fleming Airways System Transport,Kalibo - Manila,Douglas DC-3,39.0,36.0,3.0,1.0,1.0,0.0,0.0,1964,Diciembre,Lunes,PHILIPPINES,1960,Sin escala
"Yurimaguas, Peru",SATCO,,Douglas DC-3,23.0,22.0,1.0,1.0,0.0,1.0,0.0,1964,Diciembre,Jueves,PERU,1960,Sin dato
"Near San Francisco, California",Flying Tiger Line,San Francisco - New York,Lockheed L-1049H Super Constellation,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1964,Diciembre,Jueves,EEUU,1960,Sin escala
"Near Turrialba, Costa Rica",Lineas Aéreas Sud Americana,Guatemala City - Panama City,Curtiss C-46,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1964,Diciembre,Martes,COSTA RICA,1960,Sin escala
"Detroit, Michigan",Zantop Air Transport,Cleveland - Detroit - Denver,Curtis C-46A,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1964,Diciembre,Miércoles,EEUU,1960,Con escala
"Near Darwaza, Russia",Aeroflot,Darwaza - Ashgabat,Lisunov LI-2,24.0,22.0,2.0,24.0,22.0,2.0,0.0,1965,Enero,Sábado,RUSSIA,1960,Sin escala
"Alma-Ata, Kazakhstan",Aeroflot / Kazakhstan,Semipalatinsk - Alma-Ata,Ilyushin IL-18B,103.0,95.0,8.0,64.0,61.0,3.0,0.0,1965,Enero,Domingo,KAZAKHSTAN,1960,Con escala
"Wichita, Kansas",Military - U.S. Air Force,,Boeing KC-135A,7.0,0.0,7.0,7.0,0.0,7.0,23.0,1965,Enero,Sábado,EEUU,1960,Sin dato
"Near Durango, Mexico",Aerovias del Norte,Durango  Zapotes,Curtiss C-46,10.0,7.0,3.0,10.0,7.0,3.0,0.0,1965,Enero,Domingo,MEXICO,1960,Sin escala
Mt. Helmos. Greece,Military - U.S. Air Force,Aviano - Athens,Douglas C-124C,10.0,0.0,10.0,10.0,0.0,10.0,0.0,1965,Enero,Viernes,MT. HELMOS. GREECE,1960,Sin escala
"San Jose Volcano, Chile",LAN,Santiago - Buenos Aires,Douglas DC-6B,87.0,80.0,7.0,87.0,80.0,7.0,0.0,1965,Febrero,Sábado,CHILE,1960,Sin escala
"Off Jones Beach, Wantagh, New York",Eastern Air Lines,Boston - New York - Richmond - Raleigh - Charlotte,Douglas DC-7B,84.0,79.0,5.0,84.0,79.0,5.0,0.0,1965,Febrero,Lunes,EEUU,1960,Con escala
"Near Shirinbulak, Azerbaijan",Aeroflot,Yevlakh - Nuha,Ilyushin IL-14P,23.0,19.0,4.0,23.0,19.0,4.0,0.0,1965,Febrero,Sábado,AZERBAIJAN,1960,Sin escala
"Miami, Florida",Aerolineas El Salvador,,Curtiss C-46A,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1965,Febrero,Sábado,EEUU,1960,Sin dato
"Near Aradan, Russia",Aeroflot,,Li-2,31.0,27.0,4.0,31.0,27.0,4.0,0.0,1965,Marzo,Martes,RUSSIA,1960,Sin dato
"Kuibyshev , Russia",Aeroflot,Kuibyshev - Rostov-on-Don,Tupolev Tu-124V,30.0,21.0,9.0,30.0,21.0,9.0,0.0,1965,Marzo,Lunes,RUSSIA,1960,Con escala
"Libmanan, Philippines",Fairways (Filipinas Orient Airways),Manila - Naga,Douglas DC-3,12.0,9.0,3.0,10.0,7.0,3.0,0.0,1965,Marzo,Lunes,PHILIPPINES,1960,Sin escala
"Musquodoboit, Nova Scotia, Canada",Eastern Provincial Airways,Halifax - Sidney NS,Handley Page HPR-7 Herald 211,8.0,5.0,3.0,8.0,5.0,3.0,0.0,1965,Marzo,Miércoles,CANADA,1960,Sin escala
"Trinity Bay, Newfoundland, Canada",Miami Aviaition/Air Manila,Miami - Gander - Santa Maria - Manila,Douglas DC--3,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1965,Marzo,Jueves,CANADA,1960,Con escala
"Khanty, Russia",Aeroflot,Tyumen - Khanty,Antonov AN-24,47.0,42.0,5.0,43.0,42.0,1.0,0.0,1965,Marzo,Sábado,RUSSIA,1960,Sin escala
"Sugar Loaf Mountain, Colombia",AVIANCA,Bogota - Bucaramanga,Douglas C-47,28.0,26.0,2.0,28.0,26.0,2.0,0.0,1965,Marzo,Lunes,COLOMBIA,1960,Sin escala
"Off San Juan, Puerto Rico",Military - Royal Canadian Air Force,Training exercise,Canadair CP-107 MK-2,16.0,14.0,2.0,16.0,14.0,2.0,0.0,1965,Marzo,Martes,PUERTO RICO,1960,Sin escala
"Lowery Pass, Pakistan",Pakistan International Airlines,Peshawar - Chitral,Douglas C-47,26.0,22.0,4.0,22.0,18.0,4.0,0.0,1965,Marzo,Viernes,PAKISTAN,1960,Sin escala
"Off Tangier, Morocco",Iberia Airlines,Malaga - Tangiers,Convair CV-440-62,53.0,48.0,5.0,50.0,45.0,5.0,0.0,1965,Marzo,Miércoles,MOROCCO,1960,Sin escala
"Near Damascus, Syria",Alia Royal Jordanian Airlines,Beirut  - Amman,Handley Page Dart Herald 207,54.0,50.0,4.0,54.0,50.0,4.0,0.0,1965,Abril,Sábado,SYRIA,1960,Sin escala
"Jersey, Channel Islands, UK",British United Airways,"Paris - Jersey , Channel Islands",Douglas C-47B,27.0,23.0,4.0,26.0,23.0,3.0,0.0,1965,Abril,Miércoles,UK,1960,Sin escala
"Near Seattle, Washington",Aaxico Airlines,"Seattle, WA - Ogden, UT",Douglas DC-6A,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1965,Abril,Viernes,EEUU,1960,Sin escala
"Tenerife, Canary Islands, SpainCanary Islands",Iberia Airlines,Madrid - Tenerife,Lockheed 1049G-55 Super Constellation,49.0,40.0,9.0,30.0,24.0,6.0,0.0,1965,Mayo,Miércoles,"SPAINCANARY ISLANDS",1960,Sin escala
"Cairo, Egypt",Pakistan International Airlines,Karachi - Dhahran - Cairo - Geneva - London,Boeing B-720-040B,127.0,114.0,13.0,121.0,108.0,13.0,0.0,1965,Mayo,Jueves,EGYPT,1960,Con escala
"Cooper Lake, Ontario, Canada",Mattagami Skyways,,Noorduyn Norseman,5.0,4.0,1.0,3.0,2.0,1.0,0.0,1965,Mayo,Jueves,CANADA,1960,Sin dato
"Near Colombus, Georgia",Military - U.S. Army / Military - U.S. Army,,Bell UH-1D / Bell UH1D (helicopters),18.0,,,18.0,,,0.0,1965,Junio,Martes,EEUU,1960,Sin dato
"Near Santa Ana, California",Military - U.S. Air Force,El Toro -  Honolulu - Okinawa,Boeing C-135A,85.0,73.0,12.0,85.0,73.0,12.0,0.0,1965,Junio,Viernes,EEUU,1960,Con escala
"San Francisco, California",Pan American World Airways,San Francisco - Hawaii,Boeing B-707-321B,153.0,143.0,10.0,0.0,0.0,0.0,0.0,1965,Junio,Lunes,EEUU,1960,Sin escala
"Kansas City, Missouri",Continental Airlines,"Los Angeles - Kansas City, MO",Boeing B-707-124,66.0,60.0,6.0,0.0,0.0,0.0,0.0,1965,Julio,Jueves,EEUU,1960,Sin escala
"Near Oxford, England",Military -Royal Air Force,,Handley Page Hastings C Mark 1,41.0,35.0,6.0,41.0,35.0,6.0,0.0,1965,Julio,Martes,ENGLAND,1960,Sin dato
"Cairo, Egypt",Military - Soviet Air Force,Cairo - Yamen,Antonov AN-12,31.0,22.0,9.0,30.0,21.0,9.0,0.0,1965,Julio,Miércoles,EGYPT,1960,Sin escala
"Dog Creek, British Columbia, Canada",Canadian Pacific Air Lines,Vancouver - Whitehorse,Douglas DC-6B,52.0,46.0,6.0,52.0,46.0,6.0,0.0,1965,Julio,Jueves,CANADA,1960,Sin escala
"Off Nantucket, Massachusetts",Military - U.S. Air Force,Otis AFB,EC-121H (Super Constellation),19.0,15.0,4.0,16.0,13.0,3.0,0.0,1965,Julio,Domingo,EEUU,1960,Sin escala
"St. Thomas, Virgin Islands",Virgin Islands Airways,,de Havilland 106A,12.0,11.0,1.0,8.0,7.0,1.0,0.0,1965,Julio,Jueves,VIRGIN ISLANDS,1960,Sin dato
"Near Libacao, Philippines",Military - Philippine Air Force,Hong Kong - Da Nang,Douglas C-47,37.0,30.0,7.0,37.0,30.0,7.0,0.0,1965,Julio,Domingo,PHILIPPINES,1960,Sin escala
"Panama City, Panama",Rutas Internacionales Peruanes,Panama City - Miami,Douglas C-54D,7.0,4.0,3.0,7.0,4.0,3.0,0.0,1965,Agosto,Miércoles,PANAMA,1960,Sin escala
"Near Cuiaba, Brazil",Paraense Transportes Aéreos,Mato Grosso - Porto Velho,Curtiss C-46A,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1965,Agosto,Jueves,BRAZIL,1960,Sin escala
"Lake Michigan, near Chicago, Illinois",United Air Lines,New York City - Chicago,Boeing B-727-22,30.0,24.0,6.0,30.0,24.0,6.0,0.0,1965,Agosto,Lunes,EEUU,1960,Sin escala
"Jeuk, Belgium",LOT Polish Airlines,Lille - Wroclaw,Vickers 804 Viscount,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1965,Agosto,Viernes,BELGIUM,1960,Sin escala
Hong Kong,Military - U.S. Marine Corps,Hong Kong - Da Nang,Lockheed KC-130F,72.0,66.0,6.0,59.0,57.0,2.0,0.0,1965,Agosto,Martes,HONG KONG,1960,Sin escala
"Lake Tustumena, Alaska",Cordova Airlines,,Aero Commander 680,5.0,4.0,1.0,4.0,3.0,1.0,0.0,1965,Septiembre,Sábado,EEUU,1960,Sin dato
"Near La Carlota, Phillipines",Filipinas Orient Airways,Cebu - Bacolod,Douglas DC-3A,11.0,8.0,3.0,11.0,8.0,3.0,0.0,1965,Septiembre,Sábado,PHILLIPINES,1960,Sin escala
"Gore, Ethiopia",Ethiopian Airlines,Addis Ababa - Gore,Douglas DC-3,17.0,14.0,3.0,17.0,14.0,3.0,0.0,1965,Septiembre,Martes,ETHIOPIA,1960,Sin escala
"Quang Ngai, South Vietnam",Air Vietnam (South Vietnam),Qu?ng Ngãi - Saigon,Douglas DC-3,39.0,36.0,3.0,38.0,35.0,3.0,0.0,1965,Septiembre,Jueves,SOUTH VIETNAM,1960,Sin escala
"Near Pastaza, Ecuador",TAO,Coca - Pastaza,Transportes Aéreos Orientales,11.0,8.0,3.0,9.0,6.0,3.0,0.0,1965,Septiembre,Jueves,ECUADOR,1960,Sin escala
"Chances Peak, Montserrat",Pan American World Airways,"Fort de France, Martinque- Saint Johns, Antigua",Boeing B-707-121B,30.0,21.0,9.0,30.0,21.0,9.0,0.0,1965,Septiembre,Viernes,MONTSERRAT,1960,Sin escala
"Bao Trai, Vietnam",Air America,,Beechcraft C-45H,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1965,Septiembre,Lunes,VIETNAM,1960,Sin dato
"Near Patian, Pakistan",Pakistan International Airlines,Rawalpindi - Skardu,Fokker F-27 Friendship 200,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1965,Octubre,Viernes,PAKISTAN,1960,Sin escala
"Bucaramanga, Colombia",AVIANCA,Bogota - Bucaramanga,Douglas DC-3 / Piper PA-18A,19.0,15.0,4.0,19.0,15.0,4.0,0.0,1965,Octubre,Domingo,COLOMBIA,1960,Sin escala
"Near Hanoi, Vietnam",International Control Commision,Vientiane - Hanoi,Boeing 307 Stratoliner B-1,13.0,9.0,4.0,13.0,9.0,4.0,0.0,1965,Octubre,Lunes,VIETNAM,1960,Sin escala
"Near Manila, Philippines",Philippine Air Lines,Manila - Tacloban,Douglas DC-3,37.0,34.0,3.0,1.0,1.0,0.0,0.0,1965,Octubre,Miércoles,PHILIPPINES,1960,Sin escala
"London, England",British European Airways,Edinburgh - London,Vickers Vanguard 951,36.0,30.0,6.0,36.0,30.0,6.0,0.0,1965,Octubre,Miércoles,ENGLAND,1960,Sin escala
"Obock, French Somaliland",Military - French Air Force,Djibouti - Obock,Douglas C-47A,30.0,25.0,5.0,30.0,25.0,5.0,0.0,1965,Noviembre,Martes,FRENCH SOMALILAND,1960,Sin escala
"Off Puerto Lemon, Costa Rica",Military - Argentine Air Force,Buenos Aires - Howard - San Salvador,Douglas C-54,68.0,59.0,9.0,68.0,59.0,9.0,0.0,1965,Noviembre,Miércoles,COSTA RICA,1960,Con escala
"Cincinnati Airport, near Covington, Kentucky",American Airlines,New York City - Cincinnati,Boeing B-727-23,62.0,56.0,6.0,58.0,53.0,5.0,0.0,1965,Noviembre,Lunes,EEUU,1960,Sin escala
"Near Boqueron, Colombia",Aerolineas TAO,Neiva - San Vicente del Caguan,Douglas C-47DL,30.0,25.0,5.0,30.0,25.0,5.0,0.0,1965,Noviembre,Lunes,COLOMBIA,1960,Sin escala
"Murmansk, Russia",Aeroflot,,Tupolev TU-124,64.0,57.0,7.0,32.0,30.0,2.0,0.0,1965,Noviembre,Miércoles,RUSSIA,1960,Sin dato
"Salt Lake City, Utah",United Air Lines,Denver - Salt Lake City,Boeing B-727-22,91.0,85.0,6.0,43.0,43.0,0.0,0.0,1965,Noviembre,Jueves,EEUU,1960,Sin escala
"Near Palm Springs, California",Paul Kelly Flying Service Inc.,Palm Springs - Burbank,Learjet 23,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1965,Noviembre,Domingo,EEUU,1960,Sin escala
"Salt Lake City , Utah",Edde Airlines,Salt Lake - Albuquerque,Douglas C-53-DO (DC-3A),13.0,9.0,4.0,13.0,9.0,4.0,0.0,1965,Noviembre,Sábado,EEUU,1960,Sin escala
"Carmel, New York",Trans World Airlines / Eastern Air Lines,Boston - Newark,Boeing B-707-131B / L1049C Constellation,112.0,100.0,12.0,4.0,3.0,1.0,0.0,1965,Diciembre,Sábado,EEUU,1960,Sin escala
"Tenerife, Canary Islands",Spantax,"Tenerife - Manchester, England",Douglas DC-3,32.0,28.0,4.0,32.0,28.0,4.0,0.0,1965,Diciembre,Martes,CANARY ISLANDS,1960,Sin escala
"Near Tuy Hoa, South Vietnam",Military - U.S. Air Force,Pleiku - Tuy Hoa,Fairchild C-123C,85.0,81.0,4.0,85.0,81.0,4.0,0.0,1965,Diciembre,Sábado,SOUTH VIETNAM,1960,Sin escala
"Legaspi, Philippines",Air Manila,Manila - Legazpi,Douglas DC-3A,21.0,18.0,3.0,2.0,0.0,2.0,0.0,1965,Diciembre,Jueves,PHILIPPINES,1960,Sin escala
"Near Palembang, Sumatra, Indonesia",Garuda  Indonesia Airlines / Garuda Indonesia Airlines,Medan - Palembang,Douglas DC-3 / Douglas DC-3,34.0,26.0,8.0,34.0,26.0,8.0,0.0,1966,Enero,Sábado,INDONESIA,1960,Sin escala
